date,speakers,n_visitors
2023-01-13,Gustav Nilsonne,18
2023-02-10,Börje Dahrén,14
2023-03-10,Wolmar Nyberg Åkerström,7 
2023-04-14,Richèl Bilderbeek,8
2023-05-12,Miguel de Navascués,6
2023-06-09,Barbro Bornsäter,6
2023-09-08,Martin Johnsson,6
2023-10-20,Ismail Elouafiq,5
2023-10-25,Richèl Bilderbeek,5
2023-11-10,Adam Gill,5
2023-12-08,Anna Hallberg,9
2024-01-12,Emmi Puuvuori,8
2024-02-09,Douglas Spangler,9
2024-03-15,Bilderbeek and Johnsson,4
2024-04-12,Philippe Stamenkovic,3
2024-05-09,Richel Bilderbeek,6
2024-06-15,Nicole Teroni,7
2024-09-13,Paul Jacobson,10
